高清频道,#genre#
河南卫视高清,rtsp://183.252.173.190:554/PLTV/88888888/224/3221226076/10000100000000060000000002296917_0.smil
河北卫视高清,rtsp://183.252.173.190:554/PLTV/88888888/224/3221226111/10000100000000060000000002310153_0.smil
北京卫视高清,rtsp://139.214.135.10:554/PLTV/88888888/224/3221225811/10000100000000060000000014274961_0.smil
湖南卫视高清,rtsp://139.214.135.10:554/PLTV/88888888/224/3221225813/10000100000000060000000014274977_0.smil
天津卫视高清,rtsp://139.214.135.10:554/PLTV/88888888/224/3221225624/10000100000000060000000014261467_0.smil
江苏卫视高清,rtsp://139.214.135.10:554/PLTV/88888888/224/3221225873/10000100000000060000000014817978_0.smil
广东卫视高清,rtsp://139.214.135.10:554/PLTV/88888888/224/3221225815/10000100000000060000000014274978_0.smil
黑龙江卫视高清,rtsp://139.214.135.10:554/PLTV/88888888/224/3221225817/10000100000000060000000014274982_0.smil
深圳卫视高清,rtsp://139.214.135.10:554/PLTV/88888888/224/3221225819/10000100000000060000000014274983_0.smil
安徽卫视高清,rtsp://139.214.135.10:554/PLTV/88888888/224/3221226057/10000100000000060000000015417308_0.smil
浙江卫视高清,rtsp://139.214.135.10:554/PLTV/88888888/224/3221226069/10000100000000060000000015417300_0.smil
山东卫视高清,rtsp://139.214.135.10:554/PLTV/88888888/224/3221225821/10000100000000060000000014274984_0.smil
河北卫视高清,rtsp://139.214.135.10:554/PLTV/88888888/224/3221226067/10000100000000060000000015417301_0.smil
湖北卫视高清,rtsp://139.214.135.10:554/PLTV/88888888/224/3221225823/10000100000000060000000014274985_0.smil
辽宁卫视高清,rtsp://139.214.135.10:554/PLTV/88888888/224/3221226055/10000100000000060000000015417309_0.smil
东方卫视高清,rtsp://139.214.135.10:554/PLTV/88888888/224/3221225786/10000100000000060000000014995744_0.smil
江西卫视高清,rtsp://139.214.135.10:554/PLTV/88888888/224/3221226063/10000100000000060000000015417304_0.smil
河南卫视高清,rtsp://139.214.135.10:554/PLTV/88888888/224/3221226065/10000100000000060000000015417303_0.smil
东南卫视高清,rtsp://139.214.135.10:554/PLTV/88888888/224/3221225788/10000100000000060000000014995757_0.smil
重庆卫视高清,rtsp://139.214.135.10:554/PLTV/88888888/224/3221226059/10000100000000060000000015417306_0.smil
贵州卫视高清,rtsp://139.214.135.10:554/PLTV/88888888/224/3221226061/10000100000000060000000015417305_0.smil
四川卫视高清,rtsp://139.214.135.10:554/PLTV/88888888/224/3221226073/10000100000000060000000015417297_0.smil
海峡卫视高清,rtsp://183.252.176.54:554/PLTV/88888888/224/3221226128/10000100000000060000000002434539_0.smil
宁夏卫视高清,http://39.134.93.229:6610/000000001000/nxweishi/1.m3u8?IASHttpSessionId=
山西卫视高清,http://httpdvb.slave.yqdtv.com:13164/playurl?playtype=live&protocol=http&playtoken=31603YEQXREOPEG10&auth=no&verifycode=14183&accesstoken=G79E6023V21307D1TD05FABJB53102ABM786710FEI3282697DK98BDA6&programid=4200000133
三沙卫视高清,http://pull2.ssws.tv/live/SswsTV20210803.m3u8
广西卫视高清,http://live-cdn.gxxw.com/tv/gxtvlive/index.m3u8
云南卫视高清,http://tvlive.ynradio.com/live/yunnanweishi/playlist.m3u8
青海卫视高清,http://live.geermurmt.com/qhws/sd/live.m3u8
兵团卫视高清,http://test5.btzx.com.cn/live/btxjbtws.stream/playlist.m3u8
兵团卫视高清,http://test5.btzx.com.cn/live/btxjbtws.stream/chunklist_w1179863659.m3u8 
内蒙古卫视高清,http://live9.m2oplus.nmtv.cn/nmgws/hd/live.m3u8
上海纪实高清,rtsp://139.214.135.10:554/PLTV/88888888/224/3221226071/10000100000000060000000015417299_0.smil
金鹰纪实高清,rtsp://139.214.135.10:554/PLTV/88888888/224/3221226053/10000100000000060000000015417310_0.smil
北京纪实高清,rtsp://139.214.135.10:554/PLTV/88888888/224/3221226051/10000100000000060000000015417312_0.smil
CNC中文,http://source07.v.news.cn/live/CNC_CN/playlist.m3u8 
CNC英文,http://source07.v.news.cn/live/CNC_EN/playlist.m3u8 

数字频道,#genre#
都市剧场,rtsp://139.214.135.10:554/PLTV/88888888/224/3221226219/10000100000000060000000015948521_0.smil
法制天地,rtsp://139.214.135.10:554/PLTV/88888888/224/3221225880/10000100000000060000000015948516_0.smil
CHC高清,rtsp://139.214.135.10:554/PLTV/88888888/224/3221225866/10000100000000060000000015648523_0.smil
CHC动作,rtsp://139.214.135.10:554/PLTV/88888888/224/3221226201/10000100000000060000000015648520_0.smil
CHC家庭,rtsp://139.214.135.10:554/PLTV/88888888/224/3221225864/10000100000000060000000015648524_0.smil
每日影院,rtsp://139.214.135.10/PLTV/88888888/224/3221225892/10000100000000060000000016312812_0.smil
幸福剧场,rtsp://139.214.135.10/PLTV/88888888/224/3221225890/10000100000000060000000016312813_0.smil
幸福娱乐,rtsp://139.214.135.10/PLTV/88888888/224/3221226205/10000100000000060000000015673314_0.smil
风尚生活,rtsp://139.214.135.10/PLTV/88888888/224/3221226203/10000100000000060000000015673313_0.smil
体育赛事,rtsp://139.214.135.10:554/PLTV/88888888/224/3221226199/10000100000000060000000015648527_0.smil
休闲体育,rtsp://139.214.135.10/PLTV/88888888/224/3221225862/10000100000000060000000015632883_0.smil
羽球精品赛事,rtsp://139.214.135.10/PLTV/88888888/224/3221225860/10000100000000060000000015632892_0.smil
电视指南,rtsp://139.214.135.10:554/PLTV/88888888/224/3221225831/10000100000000060000000014313398_0.smil
第一剧场,rtsp://139.214.135.10:554/PLTV/88888888/224/3221225779/10000100000000060000000014254031_0.smil
风云剧场,rtsp://139.214.135.10:554/PLTV/88888888/224/3221225829/10000100000000060000000014313392_0.smil
怀旧剧场,rtsp://139.214.135.10:554/PLTV/88888888/224/3221225757/10000100000000060000000014254008_0.smil
世界地理,rtsp://139.214.135.10:554/PLTV/88888888/224/3221225783/10000100000000060000000014254033_0.smil
风云足球,rtsp://139.214.135.10:554/PLTV/88888888/224/3221225747/10000100000000060000000014253997_0.smil
央视台球,rtsp://139.214.135.10:554/PLTV/88888888/224/3221225743/10000100000000060000000014253990_0.smil
风云音乐,rtsp://139.214.135.10:554/PLTV/88888888/224/3221225751/10000100000000060000000014254005_0.smil
央视精品,rtsp://139.214.135.10:554/PLTV/88888888/224/3221225767/10000100000000060000000014254016_0.smil
高尔夫网球,rtsp://139.214.135.10:554/PLTV/88888888/224/3221226213/10000100000000060000000015869929_0.smil
兵器科技,rtsp://139.214.135.10:554/PLTV/88888888/224/3221225769/10000100000000060000000014254019_0.smil
女性时尚,rtsp://139.214.135.10:554/PLTV/88888888/224/3221225745/10000100000000060000000014253993_0.smil
卫生健康,rtsp://139.214.135.10:554/PLTV/88888888/224/3221225872/10000100000000060000000015869926_0.smil
茶频道,rtsp://139.214.135.10:554/PLTV/88888888/224/3221225874/10000100000000060000000015948529_0.smil
快乐垂钓,rtsp://139.214.135.10:554/PLTV/88888888/224/3221226215/10000100000000060000000015948526_0.smil
游戏风云,rtsp://139.214.135.10:554/PLTV/88888888/224/3221225876/10000100000000060000000015948525_0.smil
动漫秀场,rtsp://139.214.135.10:554/PLTV/88888888/224/3221226217/10000100000000060000000015948524_0.smil
生活时尚,rtsp://139.214.135.10:554/PLTV/88888888/224/3221225878/10000100000000060000000015948520_0.smil
金色频道,rtsp://139.214.135.10:554/PLTV/88888888/224/3221226221/10000100000000060000000015948519_0.smil
极速汽车,rtsp://139.214.135.10:554/PLTV/88888888/224/3221226223/10000100000000060000000015948515_0.smil
全纪实,rtsp://139.214.135.10:554/PLTV/88888888/224/3221225882/10000100000000060000000015948514_0.smil
靓妆频道,rtsp://139.214.135.10/PLTV/88888888/224/3221225791/10000100000000060000000014254090_0.smil
环球奇观,rtsp://139.214.135.10/PLTV/88888888/224/3221225749/10000100000000060000000014254004_0.smil
汽摩频道,rtsp://139.214.135.10/PLTV/88888888/224/3221225797/10000100000000060000000014254508_0.smil
国学频道,rtsp://139.214.135.10/PLTV/88888888/224/3221225781/10000100000000060000000014254032_0.smil
老故事,rtsp://139.214.135.10/PLTV/88888888/224/3221225827/10000100000000060000000014313391_0.smil

本地频道,#genre#
吉林卫视,rtsp://139.214.135.10/PLTV/88888888/224/3221225576/10000100000000060000000000029782_0.smil
吉视都市,rtsp://139.214.135.10/PLTV/88888888/224/3221225578/10000100000000060000000000029793_0.smil
吉视影视,rtsp://139.214.135.10/PLTV/88888888/224/3221225519/10000100000000060000000000030129_0.smil
吉视生活,rtsp://139.214.135.10/PLTV/88888888/224/3221225527/10000100000000060000000000030173_0.smil
吉视乡村,rtsp://139.214.135.10/PLTV/88888888/224/3221225533/10000100000000060000000000030248_0.smil
吉视公共,rtsp://139.214.135.10/PLTV/88888888/224/3221225531/10000100000000060000000000030230_0.smil
吉视7频道,rtsp://139.214.135.10/PLTV/88888888/224/3221225535/10000100000000060000000000030269_0.smil
吉林教育,rtsp://139.214.135.10/PLTV/88888888/224/3221225846/10000100000000060000000015213097_0.smil
篮球频道,rtsp://139.214.135.10/PLTV/88888888/224/3221225537/10000100000000060000000000030285_0.smil
东北戏曲,rtsp://139.214.135.10/PLTV/88888888/224/3221225539/10000100000000060000000000030319_0.smil
长春综合,rtsp://139.214.135.10/PLTV/88888888/224/3221225630/10000100000000060000000014292013_0.smil
长春娱乐,rtsp://139.214.135.10/PLTV/88888888/224/3221225632/10000100000000060000000014292014_0.smil
长春市民,rtsp://139.214.135.10/PLTV/88888888/224/3221225634/10000100000000060000000014292015_0.smil
长春经济,rtsp://139.214.135.10/PLTV/88888888/224/3221225636/10000100000000060000000014292016_0.smil
长春汽车,rtsp://139.214.135.10/PLTV/88888888/224/3221225825/10000100000000060000000014290010_0.smil
吉林市新闻综合,rtsp://139.214.135.10/PLTV/88888888/224/3221225832/10000100000000060000000015046808_0.smil
吉林市公共,rtsp://139.214.135.10/PLTV/88888888/224/3221225830/10000100000000060000000015046809_0.smil
吉林市科教,rtsp://139.214.135.10/PLTV/88888888/224/3221225828/10000100000000060000000015046810_0.smil
延边卫视,rtsp://139.214.135.10/PLTV/88888888/224/3221225698/10000100000000060000000014819811_0.smil
延吉,rtsp://139.214.135.10/PLTV/88888888/224/3221226117/10000100000000060000000015446242_0.smil
延边1,rtsp://139.214.135.10/PLTV/88888888/224/3221226045/10000100000000060000000015259698_0.smil
延边2,rtsp://139.214.135.10/PLTV/88888888/224/3221226047/10000100000000060000000015259697_0.smil
四平1,rtsp://139.214.135.10/PLTV/88888888/224/3221225836/10000100000000060000000015047482_0.smil
四平2,rtsp://139.214.135.10/PLTV/88888888/224/3221225834/10000100000000060000000015047483_0.smil
通化1,rtsp://139.214.135.10/PLTV/88888888/224/3221225842/10000100000000060000000015063095_0.smil
通化2,rtsp://139.214.135.10/PLTV/88888888/224/3221225840/10000100000000060000000015063096_0.smil
通化3,rtsp://139.214.135.10/PLTV/88888888/224/3221225838/10000100000000060000000015063097_0.smil
白城1,rtsp://139.214.135.10/PLTV/88888888/224/3221225826/10000100000000060000000015046811_0.smil
白城2,rtsp://139.214.135.10/PLTV/88888888/224/3221225824/10000100000000060000000015046812_0.smil
辽源1,rtsp://139.214.135.10/PLTV/88888888/224/3221225822/10000100000000060000000015046813_0.smil
辽源2,rtsp://139.214.135.10/PLTV/88888888/224/3221225820/10000100000000060000000015046814_0.smil
松原1,rtsp://139.214.135.10/PLTV/88888888/224/3221226079/10000100000000060000000015417318_0.smil
松原1,rtsp://139.214.135.10/PLTV/88888888/224/3221226009/10000100000000060000000015046837_0.smil
松原2,rtsp://139.214.135.10/PLTV/88888888/224/3221226087/10000100000000060000000015446264_0.smil
白山1,rtsp://139.214.135.10/PLTV/88888888/224/3221225818/10000100000000060000000015046817_0.smil
白山2,rtsp://139.214.135.10/PLTV/88888888/224/3221225816/10000100000000060000000015046818_0.smil
农安,rtsp://139.214.135.10/PLTV/88888888/224/3221226049/10000100000000060000000015417315_0.smil
磐石,rtsp://139.214.135.10/PLTV/88888888/224/3221226123/10000100000000060000000015417314_0.smil
舒兰,rtsp://139.214.135.10/PLTV/88888888/224/3221226193/10000100000000060000000015585157_0.smil
图们,rtsp://139.214.135.10/PLTV/88888888/224/3221226119/10000100000000060000000015446241_0.smil
汪清,rtsp://139.214.135.10/PLTV/88888888/224/3221226121/10000100000000060000000015446239_0.smil
双辽,rtsp://139.214.135.10/PLTV/88888888/224/3221226113/10000100000000060000000015446246_0.smil
伊通,rtsp://139.214.135.10/PLTV/88888888/224/3221226109/10000100000000060000000015446249_0.smil
公主岭,rtsp://139.214.135.10/PLTV/88888888/224/3221226111/10000100000000060000000015446248_0.smil
梨树,rtsp://139.214.135.10/PLTV/88888888/224/3221226115/10000100000000060000000015446243_0.smil
集安,rtsp://139.214.135.10/PLTV/88888888/224/3221226077/10000100000000060000000015417317_0.smil
梅河口,rtsp://139.214.135.10/PLTV/88888888/224/3221226105/10000100000000060000000015446252_0.smil
柳河,rtsp://139.214.135.10/PLTV/88888888/224/3221226107/10000100000000060000000015446251_0.smil
辉南,rtsp://139.214.135.10/PLTV/88888888/224/3221226103/10000100000000060000000015446254_0.smil
大安,rtsp://139.214.135.10/PLTV/88888888/224/3221226097/10000100000000060000000015446257_0.smil
镇赉,rtsp://139.214.135.10/PLTV/88888888/224/3221226101/10000100000000060000000015446255_0.smil
通榆,rtsp://139.214.135.10/PLTV/88888888/224/3221226099/10000100000000060000000015446256_0.smil
东丰,rtsp://139.214.135.10/PLTV/88888888/224/3221226093/10000100000000060000000015446260_0.smil
乾安,rtsp://139.214.135.10/PLTV/88888888/224/3221226089/10000100000000060000000015446263_0.smil
扶余,rtsp://139.214.135.10/PLTV/88888888/224/3221226091/10000100000000060000000015446262_0.smil
抚松,rtsp://139.214.135.10/PLTV/88888888/224/3221226187/10000100000000060000000015585160_0.smil
临江,rtsp://139.214.135.10/PLTV/88888888/224/3221226189/10000100000000060000000015585159_0.smil
长白,rtsp://139.214.135.10/PLTV/88888888/224/3221226075/10000100000000060000000015417319_0.smil
东辽,rtsp://139.214.135.10/PLTV/88888888/224/3221226095/10000100000000060000000015446259_0.smil
洮南,rtsp://139.214.135.10/PLTV/88888888/224/3221226191/10000100000000060000000015585158_0.smil

标清频道,#genre#
CCTV-1综合,rtsp://139.214.135.10/PLTV/88888888/224/3221225553/10000100000000060000000000049916_0.smil
CCTV-2财经,rtsp://139.214.135.10/PLTV/88888888/224/3221225547/10000100000000060000000000049632_0.smil
CCTV-3综艺,rtsp://139.214.135.10/PLTV/88888888/224/3221225712/10000100000000060000000014868304_0.smil
CCTV-4国际,rtsp://139.214.135.10/PLTV/88888888/224/3221225510/10000100000000060000000000029577_0.smil
CCTV-5体育,rtsp://139.214.135.10/PLTV/88888888/224/3221225714/10000100000000060000000014868306_0.smil
CCTV-6电影,rtsp://139.214.135.10/PLTV/88888888/224/3221225716/10000100000000060000000014868307_0.smil
CCTV-8电视剧,rtsp://139.214.135.10/PLTV/88888888/224/3221225718/10000100000000060000000014868308_0.smil
CCTV-9纪录,rtsp://139.214.135.10/PLTV/88888888/224/3221225879/10000100000000060000000014901563_0.smil
CCTV-10科教,rtsp://139.214.135.10/PLTV/88888888/224/3221225551/10000100000000060000000000049676_0.smil
CCTV-11戏曲,rtsp://139.214.135.10/PLTV/88888888/224/3221225560/10000100000000060000000000029620_0.smil
CCTV-12法制,rtsp://139.214.135.10/PLTV/88888888/224/3221225564/10000100000000060000000000029648_0.smil
CCTV-13新闻,rtsp://139.214.135.10/PLTV/88888888/224/3221225543/10000100000000060000000000036446_0.smil
CCTV-14少儿,rtsp://139.214.135.10/PLTV/88888888/224/3221225496/10000100000000060000000000029509_0.smil
CCTV-15音乐,rtsp://139.214.135.10/PLTV/88888888/224/3221225525/10000100000000060000000000030132_0.smil
CCTV-17农业,rtsp://139.214.135.10/PLTV/88888888/224/3221225532/10000100000000060000000000029588_0.smil
CGTN,rtsp://139.214.135.10/PLTV/88888888/224/3221225550/10000100000000060000000000029614_0.smil
CGTN纪录（英）,rtsp://139.214.135.10/PLTV/88888888/224/3221225549/10000100000000060000000000049675_0.smil
北京卫视,rtsp://139.214.135.10/PLTV/88888888/224/3221225524/10000100000000060000000000029584_0.smil
天津卫视,rtsp://139.214.135.10/PLTV/88888888/224/3221225580/10000100000000060000000000076840_0.smil
深圳卫视,rtsp://139.214.135.10/PLTV/88888888/224/3221225498/10000100000000060000000000029510_0.smil
广东卫视,rtsp://139.214.135.10/PLTV/88888888/224/3221225562/10000100000000060000000000029646_0.smil
河北卫视,rtsp://139.214.135.10/PLTV/88888888/224/3221225538/10000100000000060000000000029591_0.smil
山西卫视,rtsp://139.214.135.10/PLTV/88888888/224/3221225540/10000100000000060000000000029592_0.smil
内蒙古卫视,rtsp://139.214.135.10/PLTV/88888888/224/3221225570/10000100000000060000000000029665_0.smil
辽宁卫视,rtsp://139.214.135.10/PLTV/88888888/224/3221225526/10000100000000060000000000029585_0.smil
黑龙江卫视,rtsp://139.214.135.10/PLTV/88888888/224/3221225558/10000100000000060000000000029619_0.smil
东方卫视,rtsp://139.214.135.10/PLTV/88888888/224/3221225512/10000100000000060000000000029578_0.smil
浙江卫视,rtsp://139.214.135.10/PLTV/88888888/224/3221225572/10000100000000060000000000029666_0.smil
江苏卫视,rtsp://139.214.135.10/PLTV/88888888/224/3221225500/10000100000000060000000000029511_0.smil
安徽卫视,rtsp://139.214.135.10/PLTV/88888888/224/3221225536/10000100000000060000000000029590_0.smil
东南卫视,rtsp://139.214.135.10/PLTV/88888888/224/3221225516/10000100000000060000000000029580_0.smil
江西卫视,rtsp://139.214.135.10/PLTV/88888888/224/3221225522/10000100000000060000000000029583_0.smil
山东卫视,rtsp://139.214.135.10/PLTV/88888888/224/3221225518/10000100000000060000000000029581_0.smil
河南卫视,rtsp://139.214.135.10/PLTV/88888888/224/3221225520/10000100000000060000000000029582_0.smil
湖北卫视,rtsp://139.214.135.10/PLTV/88888888/224/3221225506/10000100000000060000000000029573_0.smil
湖南卫视,rtsp://139.214.135.10/PLTV/88888888/224/3221225502/10000100000000060000000000029535_0.smil
广西卫视,rtsp://139.214.135.10/PLTV/88888888/224/3221225534/10000100000000060000000000029589_0.smil
海南卫视,rtsp://139.214.135.10/PLTV/88888888/224/3221225568/10000100000000060000000000029657_0.smil
重庆卫视,rtsp://139.214.135.10/PLTV/88888888/224/3221225554/10000100000000060000000000029616_0.smil
贵州卫视,rtsp://139.214.135.10/PLTV/88888888/224/3221225542/10000100000000060000000000029593_0.smil
云南卫视,rtsp://139.214.135.10/PLTV/88888888/224/3221225556/10000100000000060000000000029618_0.smil
西藏卫视,rtsp://139.214.135.10/PLTV/88888888/224/3221225544/10000100000000060000000000029594_0.smil
宁夏卫视,rtsp://139.214.135.10/PLTV/88888888/224/3221225739/10000100000000060000000014251669_0.smil
四川卫视,rtsp://139.214.135.10/PLTV/88888888/224/3221225508/10000100000000060000000000029576_0.smil
陕西卫视,rtsp://139.214.135.10/PLTV/88888888/224/3221225530/10000100000000060000000000029587_0.smil
青海卫视,rtsp://139.214.135.10/PLTV/88888888/224/3221225528/10000100000000060000000000029586_0.smil
兵团卫视,rtsp://139.214.135.10/PLTV/88888888/224/3221225546/10000100000000060000000000029595_0.smil
甘肃卫视,rtsp://139.214.135.10/PLTV/88888888/224/3221225566/10000100000000060000000000029649_0.smil
新疆卫视,rtsp://139.214.135.10/PLTV/88888888/224/3221225504/10000100000000060000000000029555_0.smil
三沙卫视,rtsp://139.214.135.10/PLTV/88888888/224/3221225870/10000100000000060000000015811900_0.smil
炫动卡通,rtsp://139.214.135.10/PLTV/88888888/224/3221225574/10000100000000060000000000029709_0.smil
卡酷动画,rtsp://139.214.135.10/PLTV/88888888/224/3221225548/10000100000000060000000000029596_0.smil
金鹰卡通,rtsp://139.214.135.10/PLTV/88888888/224/3221225552/10000100000000060000000000029615_0.smil
嘉佳卡通,rtsp://139.214.135.10/PLTV/88888888/224/3221225741/10000100000000060000000014253765_0.smil

地方频道,#genre#
求索纪录,http://stream.slave.jxtvnet.tv:14311/playurl?playtype=live&protocol=http&accesstoken=R609DF27DU30963004K77360366I5D0110ACPBM356F868V0Z57EA5W167ED2234F88A5EE&programid=4200000144&playtoken=ABCDEFGH&auth=no 
DOXTV高清,http://stream.slave.jxtvnet.tv:14311/playurl?playtype=live&protocol=http&accesstoken=R609DF27DU30963004K77360366I5D0110ACPBM356F868V0Z57EA5W167ED2234F88A5EE&programid=4200000126&playtoken=ABCDEFGH&auth=no 
4K UHD,http://223.110.246.80/ott.js.chinamobile.com/PLTV/4/224/3221227896/index.m3u8
4K UHD,http://223.110.236.3/ott.js.chinamobile.com/PLTV/3/224/3221228113/index.m3u8
纯享4K,http://223.110.243.158/ott.js.chinamobile.com/PLTV/3/224/3221227506/index.m3u8
欢笑剧场4K,http://117.148.179.172/PLTV/88888888/224/3221230739/index.m3u8
